1.00000000	1.02788320
1.18367347	1.18509706
1.36734694	1.45160576
1.55102041	1.58874949
1.73469388	1.75131830
1.91836735	1.97476449
2.10204082	2.10943028
2.28571429	2.33929192
2.46938776	2.50025090
2.65306122	2.71513754
2.83673469	2.92756729
3.02040816	3.05023273
3.20408163	3.24464346
3.38775510	3.45375887
3.57142857	3.61025623
3.75510204	3.81039560
3.93877551	3.94547326
4.12244898	4.12535356
4.30612245	4.32160707
4.48979592	4.49664266
4.67346939	4.68818451
4.85714286	4.85740399
5.04081633	5.10110024
5.22448980	5.28268004
5.40816327	5.44914947
5.59183673	5.62967549
5.77551020	5.81787960
5.95918367	5.99778826
6.14285714	6.16791498
6.32653061	6.35988350
6.51020408	6.60243749
6.69387755	6.76414135
6.87755102	6.94089772
7.06122449	7.07377872
7.24489796	7.24569463
7.42857143	7.48990481
7.61224490	7.63900392
7.79591837	7.80467875
7.97959184	8.05732823
8.16326531	8.23169373
8.34693878	8.44366528
8.53061224	8.61100041
8.71428571	8.80102700
8.89795918	8.96687693
9.08163265	9.11384945
9.26530612	9.32815213
9.44897959	9.47217302
9.63265306	9.69384760
9.81632653	9.89881033
10.00000000	10.01604707
