1.00000000	0.01831564
1.18367347	0.02622382
1.36734694	0.03691852
1.55102041	0.05110540
1.73469388	0.06956067
1.91836735	0.09309685
2.10204082	0.12251254
2.28571429	0.15852599
2.46938776	0.20169481
2.65306122	0.25232675
2.83673469	0.31038892
3.02040816	0.37542523
3.20408163	0.44649338
3.38775510	0.52213276
3.57142857	0.60037304
3.75510204	0.67879051
3.93877551	0.75461367
4.12244898	0.82487456
4.30612245	0.88659543
4.48979592	0.93699526
4.67346939	0.97369656
4.85714286	0.99491095
5.04081633	0.99958359
5.22448980	0.98748012
5.40816327	0.95920610
5.59183673	0.91615686
5.77551020	0.86040332
5.95918367	0.79452698
6.14285714	0.72142229
6.32653061	0.64408739
6.51020408	0.56542417
6.69387755	0.48806568
6.87755102	0.41424427
7.06122449	0.34570772
7.24489796	0.28368474
7.42857143	0.22889548
7.61224490	0.18159872
7.79591837	0.14166504
7.97959184	0.10866431
8.16326531	0.08195689
8.34693878	0.06077968
8.53061224	0.04432060
8.71428571	0.03177805
8.89795918	0.02240387
9.08163265	0.01553078
9.26530612	0.01058615
9.44897959	0.00709507
9.63265306	0.00467574
9.81632653	0.00302983
10.00000000	0.00193045
